trade_date,index,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount
20070919,3041,601169.SH,23.0,25.0,22.48,22.68,12.5,10.18,81.44,4610991.47,10932077.806
20070920,3040,601169.SH,23.9,24.6,23.16,24.57,22.68,1.89,8.33,1977404.65,4715341.972
20070921,3039,601169.SH,23.48,24.0,22.45,23.48,24.57,-1.09,-4.44,1309662.05,3033619.945
20070924,3038,601169.SH,23.62,23.66,22.52,22.61,23.48,-0.87,-3.71,744268.61,1696596.388
20070925,3037,601169.SH,22.66,22.69,20.99,21.05,22.61,-1.56,-6.9,828099.98,1781488.643
20070926,3036,601169.SH,21.0,22.06,20.8,21.33,21.05,0.28,1.33,436347.8,938324.5
20070927,3035,601169.SH,21.5,22.3,21.12,22.0,21.33,0.67,3.14,419034.47,912701.465
20070928,3034,601169.SH,22.22,22.41,21.83,22.03,22.0,0.03,0.14,499060.61,1101913.405
20071008,3033,601169.SH,22.31,23.18,22.23,22.41,22.03,0.38,1.72,655255.09,1495633.361
20071009,3032,601169.SH,22.41,23.2,22.05,23.02,22.41,0.61,2.72,482622.87,1100631.675
20071010,3031,601169.SH,23.02,24.14,23.02,23.74,23.02,0.72,3.13,706460.77,1670448.985
20071011,3030,601169.SH,23.98,23.99,23.0,23.42,23.74,-0.32,-1.35,442930.28,1036020.182
20071012,3029,601169.SH,23.55,24.3,22.38,24.13,23.42,0.71,3.03,769707.16,1806349.089
20071015,3028,601169.SH,24.57,25.15,23.73,23.9,24.13,-0.23,-0.95,880006.94,2146899.737
20071016,3027,601169.SH,23.88,24.7,23.49,24.04,23.9,0.14,0.59,657269.12,1579374.036
20071017,3026,601169.SH,23.65,23.66,22.8,22.87,24.04,-1.17,-4.87,471732.14,1089531.895
20071018,3025,601169.SH,22.93,23.09,22.0,22.12,22.87,-0.75,-3.28,314219.95,699864.473
20071019,3024,601169.SH,22.25,22.48,21.84,21.98,22.12,-0.14,-0.63,178844.18,395689.031
20071022,3023,601169.SH,21.7,22.3,21.18,21.78,21.98,-0.2,-0.91,209584.42,453121.467
20071023,3022,601169.SH,21.78,22.16,21.4,22.15,21.78,0.37,1.7,177871.76,387174.793
20071024,3021,601169.SH,22.2,22.58,21.81,21.84,22.15,-0.31,-1.4,196515.89,436813.537
20071025,3020,601169.SH,21.69,22.29,21.0,21.77,21.84,-0.07,-0.32,331346.52,717456.858
20071026,3019,601169.SH,21.58,22.03,21.42,21.72,21.77,-0.05,-0.23,148349.6,322035.078
20071029,3018,601169.SH,22.28,22.68,22.05,22.35,21.72,0.63,2.9,203751.26,456942.628
20071030,3017,601169.SH,22.52,22.75,22.1,22.68,22.35,0.33,1.48,238705.68,535176.882
20071031,3016,601169.SH,23.2,23.5,22.73,23.13,22.68,0.45,1.98,413141.42,957324.476
20071101,3015,601169.SH,23.12,23.34,22.6,22.64,23.13,-0.49,-2.12,248359.2,569416.423
20071102,3014,601169.SH,22.36,22.6,21.72,21.75,22.64,-0.89,-3.93,231892.46,512227.013
20071105,3013,601169.SH,21.63,22.18,21.49,21.99,21.75,0.24,1.1,128721.9,280249.72
20071106,3012,601169.SH,21.92,22.18,21.63,21.73,21.99,-0.26,-1.18,90069.24,197056.019
20071107,3011,601169.SH,21.86,22.35,21.6,22.03,21.73,0.3,1.38,119066.6,262253.689
20071108,3010,601169.SH,22.08,22.28,21.7,21.78,22.03,-0.25,-1.13,128382.2,282294.696
20071109,3009,601169.SH,21.73,21.94,21.06,21.31,21.78,-0.47,-2.16,169594.17,362283.796
20071112,3008,601169.SH,20.8,21.24,19.52,19.9,21.31,-1.41,-6.62,256882.9,522784.259
20071113,3007,601169.SH,20.3,20.55,19.65,19.73,19.9,-0.17,-0.85,241220.03,481104.179
20071114,3006,601169.SH,20.01,20.34,19.82,20.32,19.73,0.59,2.99,199419.34,400743.215
20071115,3005,601169.SH,20.25,20.35,19.73,19.93,20.32,-0.39,-1.92,166996.8,334308.164
20071116,3004,601169.SH,19.8,19.82,19.3,19.38,19.93,-0.55,-2.76,198101.22,386451.035
20071119,3003,601169.SH,19.45,19.75,19.42,19.6,19.38,0.22,1.14,144261.03,282749.782
20071120,3002,601169.SH,19.6,19.93,19.45,19.71,19.6,0.11,0.56,183701.69,363085.527
20071121,3001,601169.SH,19.9,20.0,19.62,19.68,19.71,-0.03,-0.15,107244.62,212684.808
20071122,3000,601169.SH,19.45,19.8,19.01,19.04,19.68,-0.64,-3.25,143589.45,277181.073
20071123,2999,601169.SH,18.85,19.22,18.4,19.05,19.04,0.01,0.05,163520.11,306954.959
20071126,2998,601169.SH,19.25,19.38,18.75,18.85,19.05,-0.2,-1.05,131369.85,249791.051
20071127,2997,601169.SH,18.7,19.45,18.41,18.97,18.85,0.12,0.64,148013.0,281365.272
20071128,2996,601169.SH,18.96,19.1,18.49,18.55,18.97,-0.42,-2.21,87503.94,163829.373
20071129,2995,601169.SH,18.91,19.7,18.7,19.57,18.55,1.02,5.5,229965.43,445328.212
20071130,2994,601169.SH,19.3,19.5,18.83,18.92,19.57,-0.65,-3.32,134887.83,258042.448
20071203,2993,601169.SH,18.8,19.78,18.7,19.32,18.92,0.4,2.11,122938.93,237794.283
20071204,2992,601169.SH,19.41,19.58,19.15,19.25,19.32,-0.07,-0.36,69627.23,134923.591
20071205,2991,601169.SH,19.38,19.74,19.18,19.56,19.25,0.31,1.61,121183.25,237097.271
20071206,2990,601169.SH,19.52,19.76,19.35,19.5,19.56,-0.06,-0.31,71225.64,139356.1
20071207,2989,601169.SH,19.5,19.71,19.3,19.62,19.5,0.12,0.62,100874.52,197092.713
20071210,2988,601169.SH,19.23,19.88,19.1,19.81,19.62,0.19,0.97,184306.91,359875.899
20071211,2987,601169.SH,19.9,20.07,19.52,19.69,19.81,-0.12,-0.61,145650.52,288205.969
20071212,2986,601169.SH,19.69,19.69,19.13,19.19,19.69,-0.5,-2.54,222160.02,429143.279
20071213,2985,601169.SH,19.1,19.44,18.9,18.99,19.19,-0.2,-1.04,143370.56,275105.29
20071214,2984,601169.SH,18.82,19.37,18.78,19.31,18.99,0.32,1.69,127323.58,243416.712
20071217,2983,601169.SH,19.25,19.27,18.81,19.0,19.31,-0.31,-1.61,123715.93,235260.784
20071218,2982,601169.SH,18.98,19.48,18.95,19.12,19.0,0.12,0.63,82866.84,159471.552
20071219,2981,601169.SH,18.9,20.2,18.75,20.2,19.12,1.08,5.65,1307135.72,2561077.25
20071220,2980,601169.SH,19.95,20.18,19.87,20.06,20.2,-0.14,-0.69,430705.61,863329.926
20071224,2979,601169.SH,20.33,20.45,19.85,20.18,20.06,0.12,0.6,494217.11,994116.585
20071225,2978,601169.SH,20.24,20.29,19.85,19.98,20.18,-0.2,-0.99,338502.57,677167.042
20071226,2977,601169.SH,20.02,20.34,19.7,20.22,19.98,0.24,1.2,371762.43,742454.97
20071227,2976,601169.SH,20.27,20.77,19.98,20.67,20.22,0.45,2.23,505587.07,1033649.793
20071228,2975,601169.SH,20.67,20.87,20.34,20.36,20.67,-0.31,-1.5,375239.77,771960.67
20080102,2974,601169.SH,20.6,21.66,20.0,21.1,20.36,0.74,3.63,515669.37,1089819.846
20080103,2973,601169.SH,21.1,21.18,20.63,21.0,21.1,-0.1,-0.47,362676.58,756405.169
20080104,2972,601169.SH,21.15,21.48,21.0,21.29,21.0,0.29,1.38,289801.47,617066.7
20080107,2971,601169.SH,21.28,21.78,21.1,21.47,21.29,0.18,0.85,306110.69,661643.363
20080108,2970,601169.SH,21.56,22.0,21.11,21.25,21.47,-0.22,-1.02,341221.15,738613.28
20080109,2969,601169.SH,21.18,22.1,21.12,21.99,21.25,0.74,3.48,295630.65,643401.969
20080110,2968,601169.SH,22.1,22.22,21.77,21.96,21.99,-0.03,-0.14,264307.11,580601.052
20080111,2967,601169.SH,22.48,22.85,21.85,22.25,21.96,0.29,1.32,251049.04,557979.232
20080114,2966,601169.SH,22.4,22.63,22.1,22.32,22.25,0.07,0.31,211321.83,472016.862
20080115,2965,601169.SH,22.25,22.3,21.61,21.68,22.32,-0.64,-2.87,314684.47,687124.408
20080116,2964,601169.SH,21.45,21.58,20.88,20.9,21.68,-0.78,-3.6,342593.86,723028.108
20080117,2963,601169.SH,20.79,21.33,20.11,20.46,20.9,-0.44,-2.11,299297.81,620046.383
20080118,2962,601169.SH,20.5,20.77,20.28,20.61,20.46,0.15,0.73,231519.14,475757.587
20080121,2961,601169.SH,20.65,20.69,19.09,19.25,20.61,-1.36,-6.6,305625.14,603652.56
20080122,2960,601169.SH,18.88,19.18,17.33,17.65,19.25,-1.6,-8.31,340232.03,623016.588
20080123,2959,601169.SH,18.05,18.76,17.5,18.4,17.65,0.75,4.25,258804.73,472232.555
20080124,2958,601169.SH,18.6,18.68,17.82,18.21,18.4,-0.19,-1.03,278715.79,507643.91
20080125,2957,601169.SH,18.3,19.1,18.1,18.68,18.21,0.47,2.58,235996.74,438592.198
20080128,2956,601169.SH,18.5,18.51,17.1,17.16,18.68,-1.52,-8.14,178940.7,316096.974
20080129,2955,601169.SH,17.27,17.69,17.13,17.59,17.16,0.43,2.51,107971.73,188106.826
20080130,2954,601169.SH,17.75,18.07,16.9,17.56,17.59,-0.03,-0.17,176823.81,310214.651
20080131,2953,601169.SH,17.5,17.84,17.28,17.41,17.56,-0.15,-0.85,88225.76,155225.466
20080201,2952,601169.SH,17.45,17.85,16.93,17.67,17.41,0.26,1.49,162546.57,284982.245
20080204,2951,601169.SH,18.18,19.01,17.92,18.93,17.67,1.26,7.13,241674.99,448423.411
20080205,2950,601169.SH,18.7,18.9,18.3,18.5,18.93,-0.43,-2.27,123949.65,230062.552
20080213,2949,601169.SH,18.38,18.38,17.7,17.89,18.5,-0.61,-3.3,82267.45,147947.695
20080214,2948,601169.SH,18.21,18.3,17.95,18.11,17.89,0.22,1.23,67686.7,122415.344
20080215,2947,601169.SH,17.91,17.95,17.41,17.7,18.11,-0.41,-2.26,88275.51,155621.866
20080218,2946,601169.SH,18.0,18.3,17.82,18.07,17.7,0.37,2.09,107820.27,195515.808
